,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
63,Estonia,,,,,,,,,,,,,,,,,,,,,3589.0,3450.0,2831.0,2793.0,2855.0,3086.0,3346.0,3594.0,3991.0,4084.0,4067.0,4487.0,5295.0,7163.0,8844.0,10330.0,12578.0,16539.0,18035.0,14716.0,14641.0,17447.0,17404.0,19000.0,19916.0,17112.0
64,Ethiopia,85.0,87.0,92.0,104.0,114.0,111.0,118.0,132.0,139.0,150.0,157.0,160.0,160.0,170.0,195.0,221.0,223.0,231.0,218.0,217.0,233.0,257.0,198.0,138.0,129.0,133.0,139.0,140.0,123.0,114.0,121.0,116.0,109.0,117.0,133.0,159.0,190.0,235.0,308.0,331.0,300.0,339.0,458.0,494.0,560.0,603.0
65,Fiji,424.0,465.0,584.0,769.0,990.0,1188.0,1185.0,1204.0,1363.0,1643.0,1897.0,1901.0,1789.0,1641.0,1684.0,1606.0,1799.0,1634.0,1538.0,1734.0,1838.0,1885.0,2062.0,2172.0,2388.0,2571.0,2695.0,2678.0,2100.0,2442.0,2105.0,2066.0,2289.0,2871.0,3375.0,3627.0,3718.0,4047.0,4179.0,3370.0,3652.0,4352.0,4544.0,4759.0,5042.0,4922.0
66,Finland,2467.0,2712.0,3177.0,4174.0,5300.0,6260.0,6743.0,7074.0,7639.0,9342.0,11233.0,10933.0,10947.0,10511.0,10847.0,11406.0,14952.0,18562.0,22033.0,23966.0,28380.0,25524.0,22369.0,17634.0,20312.0,26271.0,25771.0,24671.0,25991.0,26182.0,24252.0,24911.0,26835.0,32810.0,37633.0,38966.0,41116.0,48280.0,53396.0,47090.0,46165.0,50720.0,47322.0,49510.0,49723.0,42148.0
67,France,2862.0,3174.0,3857.0,4966.0,5317.0,6673.0,6846.0,7513.0,9248.0,11171.0,12713.0,11111.0,10506.0,10006.0,9433.0,9775.0,13557.0,16324.0,17696.0,17704.0,21795.0,21683.0,23826.0,22392.0,23488.0,26859.0,26823.0,24174.0,24901.0,24617.0,22340.0,22434.0,24197.0,29602.0,33797.0,34833.0,36523.0,41588.0,45401.0,41604.0,40667.0,43762.0,40795.0,42531.0,42801.0,36304.0
68,French Polynesia,2379.0,2687.0,2855.0,3646.0,4542.0,5468.0,6004.0,6268.0,7695.0,9281.0,10271.0,9328.0,9104.0,9185.0,9215.0,9795.0,14553.0,15656.0,15478.0,15253.0,17987.0,18236.0,19446.0,18219.0,18547.0,20542.0,19429.0,18208.0,18582.0,18031.0,15835.0,15306.0,16044.0,19806.0,22053.0,22374.0,22786.0,25435.0,27039.0,24709.0,22684.0,22874.0,20795.0,21532.0,21586.0,18161.0
69,Gabon,695.0,803.0,889.0,1465.0,3071.0,4206.0,5741.0,5241.0,4356.0,5393.0,7435.0,6543.0,5975.0,5458.0,5580.0,5589.0,5149.0,4904.0,4781.0,5004.0,6342.0,6147.0,6196.0,5834.0,4406.0,5080.0,5684.0,5203.0,4275.0,4293.0,4609.0,4111.0,4191.0,4975.0,5821.0,6952.0,7324.0,8633.0,10523.0,7755.0,8354.0,10765.0,9897.0,10317.0,10317.0,7961.0
70,Gambia,215.0,220.0,277.0,458.0,580.0,675.0,603.0,619.0,715.0,761.0,834.0,854.0,827.0,787.0,740.0,894.0,580.0,618.0,740.0,736.0,772.0,727.0,729.0,749.0,720.0,738.0,774.0,713.0,725.0,683.0,637.0,543.0,442.0,361.0,415.0,433.0,440.0,520.0,609.0,550.0,563.0,517.0,505.0,484.0,440.0,473.0
71,Georgia,,,,,,,,,,,,,,,,,,,,,1548.0,1268.0,730.0,538.0,501.0,534.0,614.0,713.0,744.0,583.0,645.0,687.0,733.0,872.0,1133.0,1433.0,1749.0,2319.0,2946.0,2505.0,2738.0,3440.0,3829.0,3953.0,4092.0,3491.0
72,Germany,2744.0,3169.0,3795.0,5041.0,5636.0,6213.0,6587.0,7618.0,9406.0,11212.0,12113.0,10225.0,9942.0,9887.0,9313.0,9408.0,13420.0,16609.0,17862.0,17751.0,22353.0,23424.0,26515.0,25639.0,27164.0,31753.0,30582.0,27059.0,27353.0,26839.0,23810.0,23844.0,25450.0,30718.0,34628.0,35218.0,37040.0,42543.0,46519.0,42447.0,42483.0,46723.0,44037.0,46577.0,48102.0,41686.0
73,Ghana,413.0,439.0,373.0,339.0,384.0,359.0,358.0,383.0,437.0,453.0,484.0,497.0,475.0,455.0,495.0,519.0,541.0,565.0,601.0,591.0,682.0,746.0,713.0,601.0,534.0,618.0,647.0,629.0,667.0,673.0,424.0,441.0,499.0,602.0,683.0,804.0,930.0,1099.0,1234.0,1096.0,1323.0,1587.0,1642.0,1827.0,1397.0,1356.0
74,Greece,1496.0,1654.0,1906.0,2511.0,2830.0,3160.0,3412.0,3908.0,4714.0,5727.0,5909.0,5394.0,5588.0,5031.0,4867.0,4826.0,5669.0,6578.0,7613.0,7864.0,9662.0,10290.0,11260.0,10429.0,11060.0,12864.0,13599.0,13257.0,13300.0,13670.0,12025.0,12395.0,13971.0,18307.0,21772.0,22383.0,24626.0,28611.0,31758.0,29517.0,26782.0,25804.0,22113.0,21697.0,21460.0,17788.0
75,Greenland,1483.0,1845.0,2170.0,2827.0,3393.0,4188.0,4755.0,5567.0,7019.0,8280.0,9328.0,8469.0,7734.0,7894.0,7100.0,7632.0,11020.0,14238.0,16099.0,16532.0,18018.0,17915.0,18270.0,16324.0,17718.0,21298.0,21088.0,18865.0,20207.0,19849.0,18693.0,18957.0,20336.0,24727.0,28470.0,28969.0,31799.0,35854.0,40534.0,40851.0,40450.0,44361.0,41815.0,42994.0,43430.0,36977.0
76,Grenada,204.0,258.0,346.0,428.0,445.0,551.0,558.0,634.0,793.0,923.0,996.0,1050.0,1129.0,1157.0,1226.0,1368.0,1536.0,1794.0,2009.0,2227.0,2467.0,2582.0,2611.0,2579.0,2676.0,2793.0,2978.0,3196.0,3506.0,3768.0,5149.0,5138.0,5332.0,5826.0,5867.0,6804.0,6826.0,7375.0,8008.0,7453.0,7418.0,7466.0,7673.0,8011.0,8313.0,8934.0
77,Guatemala,313.0,317.0,327.0,388.0,464.0,521.0,607.0,743.0,801.0,888.0,987.0,1050.0,1035.0,1046.0,1067.0,1228.0,905.0,741.0,801.0,839.0,745.0,893.0,968.0,1031.0,1145.0,1261.0,1326.0,1458.0,1553.0,1431.0,1471.0,1562.0,1693.0,1743.0,1861.0,2064.0,2241.0,2472.0,2774.0,2617.0,2806.0,3167.0,3279.0,3432.0,3667.0,3903.0
78,Guinea,182.0,199.0,211.0,225.0,256.0,287.0,325.0,333.0,378.0,401.0,444.0,480.0,507.0,521.0,532.0,561.0,574.0,590.0,629.0,618.0,647.0,648.0,658.0,618.0,615.0,669.0,677.0,645.0,577.0,549.0,485.0,455.0,448.0,513.0,531.0,420.0,426.0,619.0,668.0,627.0,622.0,615.0,627.0,680.0,723.0,704.0
79,Guinea-Bissau,395.0,384.0,442.0,535.0,577.0,652.0,577.0,488.0,554.0,595.0,552.0,589.0,473.0,465.0,497.0,440.0,477.0,506.0,468.0,552.0,578.0,601.0,620.0,635.0,653.0,677.0,444.0,334.0,298.0,315.0,276.0,283.0,297.0,340.0,371.0,401.0,396.0,456.0,554.0,518.0,520.0,656.0,577.0,595.0,570.0,530.0
80,Guyana,614.0,643.0,643.0,677.0,936.0,1087.0,946.0,923.0,1025.0,1061.0,1199.0,1150.0,979.0,991.0,915.0,963.0,1096.0,736.0,898.0,835.0,877.0,775.0,831.0,1033.0,1202.0,1364.0,1541.0,1628.0,1552.0,1497.0,1531.0,1528.0,1558.0,1596.0,1693.0,1772.0,1961.0,2334.0,2570.0,2698.0,2999.0,3409.0,3759.0,3929.0,4028.0,4279.0
81,Haiti,93.0,100.0,101.0,125.0,149.0,176.0,223.0,235.0,237.0,257.0,323.0,323.0,328.0,353.0,386.0,417.0,455.0,389.0,384.0,393.0,436.0,414.0,286.0,240.0,277.0,345.0,373.0,400.0,455.0,486.0,429.0,404.0,364.0,315.0,401.0,448.0,518.0,625.0,660.0,660.0,671.0,737.0,760.0,804.0,819.0,794.0
82,Honduras,306.0,315.0,337.0,372.0,409.0,431.0,502.0,602.0,674.0,762.0,842.0,897.0,895.0,920.0,963.0,1025.0,1041.0,1101.0,1191.0,1293.0,742.0,726.0,788.0,786.0,751.0,845.0,850.0,961.0,1049.0,1058.0,1151.0,1201.0,1209.0,1243.0,1314.0,1418.0,1558.0,1733.0,1912.0,1976.0,2111.0,2324.0,2395.0,2358.0,2449.0,2522.0
83,Hong Kong,963.0,1114.0,1404.0,1936.0,2212.0,2307.0,2870.0,3393.0,3826.0,4569.0,5711.0,6028.0,6176.0,5652.0,6263.0,6593.0,7486.0,9097.0,10578.0,12022.0,13277.0,15188.0,17630.0,20145.0,22453.0,23542.0,25484.0,27663.0,25746.0,24782.0,25307.0,24779.0,24268.0,23559.0,24716.0,26536.0,28229.0,30762.0,31732.0,30801.0,32693.0,35279.0,36980.0,38479.0,40298.0,42431.0
84,Hungary,615.0,666.0,779.0,961.0,1050.0,1192.0,1374.0,1526.0,1775.0,2042.0,2357.0,2419.0,2471.0,2252.0,2194.0,2232.0,2582.0,2850.0,3063.0,3115.0,3564.0,3341.0,3726.0,3860.0,4152.0,4473.0,4503.0,4575.0,4732.0,4786.0,4617.0,5266.0,6644.0,8386.0,10249.0,11152.0,11391.0,13831.0,15650.0,12951.0,13007.0,14025.0,12785.0,13570.0,14085.0,12351.0
85,Iceland,2598.0,3264.0,4034.0,5452.0,7089.0,6508.0,7645.0,10023.0,11304.0,12730.0,14943.0,15276.0,13867.0,11823.0,12101.0,12462.0,16475.0,22544.0,24669.0,22674.0,25592.0,27065.0,27468.0,23894.0,24318.0,26852.0,27776.0,27845.0,30730.0,32084.0,31812.0,28680.0,32070.0,39003.0,46756.0,56248.0,56643.0,69725.0,56898.0,40998.0,41676.0,45711.0,43965.0,47571.0,52486.0,50936.0
86,India,108.0,113.0,120.0,140.0,154.0,157.0,154.0,175.0,198.0,214.0,257.0,268.0,267.0,285.0,276.0,281.0,301.0,326.0,353.0,342.0,364.0,316.0,311.0,298.0,335.0,373.0,385.0,411.0,406.0,425.0,431.0,437.0,449.0,517.0,616.0,710.0,791.0,991.0,1048.0,1069.0,1341.0,1501.0,1474.0,1504.0,1580.0,1614.0
87,Indonesia,90.0,92.0,106.0,152.0,236.0,271.0,324.0,388.0,426.0,416.0,573.0,710.0,712.0,629.0,632.0,617.0,554.0,515.0,591.0,663.0,735.0,809.0,863.0,964.0,1062.0,1195.0,1325.0,1239.0,540.0,785.0,831.0,797.0,958.0,1135.0,1225.0,1345.0,1693.0,1981.0,2308.0,2409.0,3125.0,3648.0,3701.0,3632.0,3500.0,3346.0
88,Iran (Islamic Republic of),385.0,469.0,570.0,876.0,1453.0,1594.0,2025.0,2313.0,2167.0,2425.0,2473.0,2553.0,3038.0,3621.0,3645.0,1613.0,1496.0,1713.0,1742.0,1663.0,1716.0,1835.0,1887.0,2027.0,1922.0,1896.0,2011.0,1825.0,1733.0,1757.0,1664.0,1793.0,2189.0,2241.0,2650.0,3135.0,3647.0,4705.0,5476.0,5438.0,6300.0,7874.0,7711.0,6631.0,5443.0,5038.0
89,Iraq,238.0,258.0,251.0,305.0,347.0,420.0,518.0,542.0,665.0,865.0,920.0,802.0,820.0,761.0,770.0,775.0,836.0,1001.0,1044.0,966.0,977.0,333.0,382.0,265.0,206.0,172.0,292.0,310.0,383.0,648.0,717.0,729.0,699.0,645.0,995.0,1342.0,1968.0,2636.0,3527.0,3659.0,3795.0,4941.0,5641.0,6073.0,5465.0,4509.0
90,Ireland,1493.0,1710.0,2089.0,2434.0,2527.0,2985.0,2926.0,3425.0,4391.0,5413.0,6345.0,5965.0,6140.0,5893.0,5674.0,5980.0,8060.0,9520.0,10610.0,11029.0,13852.0,13960.0,15626.0,14577.0,15786.0,18986.0,20651.0,22347.0,24069.0,26071.0,25993.0,27967.0,32243.0,40653.0,47061.0,50356.0,54066.0,61530.0,61366.0,51716.0,47938.0,51710.0,48377.0,51222.0,54815.0,60514.0
91,Israel,2133.0,2190.0,2785.0,3464.0,4560.0,4385.0,4498.0,4762.0,4596.0,5801.0,6461.0,6727.0,7221.0,7916.0,7304.0,6778.0,8268.0,9775.0,11746.0,11453.0,13195.0,14643.0,15824.0,15333.0,16822.0,18808.0,20041.0,20375.0,20116.0,19893.0,22004.0,21311.0,19380.0,19948.0,20922.0,21573.0,22780.0,25827.0,30439.0,28545.0,31502.0,34558.0,33484.0,37519.0,38890.0,37129.0
92,Italy,2112.0,2306.0,2668.0,3202.0,3619.0,4107.0,4033.0,4603.0,5609.0,6986.0,8443.0,7599.0,7520.0,7782.0,7679.0,7920.0,11206.0,14094.0,15592.0,16239.0,20653.0,21779.0,23060.0,18589.0,19182.0,20498.0,22928.0,21721.0,22212.0,21890.0,19979.0,20264.0,21968.0,27061.0,30822.0,31584.0,32970.0,37250.0,40304.0,36743.0,35663.0,38142.0,34699.0,35644.0,35957.0,30462.0
93,Ivory Coast,286.0,291.0,326.0,422.0,487.0,589.0,674.0,866.0,1044.0,1155.0,1231.0,977.0,841.0,729.0,700.0,687.0,868.0,922.0,904.0,912.0,978.0,915.0,922.0,826.0,596.0,771.0,817.0,766.0,804.0,778.0,647.0,664.0,718.0,875.0,930.0,942.0,963.0,1079.0,1258.0,1233.0,1236.0,1246.0,1270.0,1446.0,1542.0,1413.0
94,Jamaica,847.0,913.0,1095.0,1105.0,1353.0,1607.0,1645.0,1782.0,1435.0,1304.0,1417.0,1552.0,1687.0,1823.0,1178.0,1029.0,1232.0,1463.0,1702.0,1945.0,2021.0,1794.0,1593.0,2034.0,2013.0,2629.0,2933.0,3318.0,3417.0,3423.0,3463.0,3512.0,3689.0,3559.0,3819.0,4199.0,4433.0,4733.0,5045.0,4440.0,4823.0,5247.0,5357.0,5148.0,4993.0,5106.0
95,Japan,2040.0,2272.0,2968.0,3977.0,4358.0,4683.0,5207.0,6347.0,8841.0,9127.0,9487.0,10405.0,9599.0,10395.0,10977.0,11674.0,17213.0,20775.0,25122.0,25054.0,25685.0,29161.0,31643.0,36120.0,39541.0,43774.0,38733.0,35304.0,32191.0,36357.0,38878.0,34162.0,32595.0,35137.0,37983.0,37450.0,35634.0,35483.0,39570.0,41082.0,44770.0,48388.0,48790.0,40601.0,38241.0,34629.0
96,Jordan,358.0,364.0,389.0,431.0,483.0,615.0,772.0,926.0,1193.0,1405.0,1760.0,1809.0,1848.0,1853.0,1815.0,1840.0,2144.0,2188.0,1960.0,1286.0,1197.0,1185.0,1421.0,1417.0,1501.0,1558.0,1558.0,1594.0,1712.0,1737.0,1775.0,1851.0,1940.0,2022.0,2207.0,2361.0,2723.0,2971.0,3656.0,3801.0,4054.0,4266.0,4423.0,4656.0,4831.0,4940.0
97,Kazakhstan,,,,,,,,,,,,,,,,,,,,,1798.0,1656.0,1611.0,1510.0,1362.0,1291.0,1339.0,1433.0,1453.0,1120.0,1223.0,1483.0,1641.0,2037.0,2821.0,3697.0,5192.0,6655.0,8384.0,7163.0,9077.0,11636.0,12365.0,13839.0,12746.0,10312.0
98,Kenya,224.0,239.0,259.0,295.0,339.0,358.0,368.0,458.0,522.0,577.0,647.0,587.0,544.0,487.0,486.0,463.0,527.0,560.0,577.0,546.0,540.0,493.0,471.0,317.0,392.0,491.0,489.0,519.0,544.0,485.0,466.0,468.0,462.0,510.0,536.0,608.0,712.0,858.0,939.0,943.0,992.0,1013.0,1185.0,1261.0,1368.0,1377.0
99,Kiribati,395.0,412.0,514.0,829.0,1480.0,1405.0,1034.0,960.0,1101.0,1035.0,1040.0,657.0,639.0,595.0,642.0,468.0,442.0,501.0,628.0,587.0,552.0,643.0,643.0,621.0,715.0,720.0,847.0,838.0,805.0,834.0,885.0,760.0,844.0,1060.0,1131.0,1215.0,1152.0,1358.0,1413.0,1297.0,1493.0,1693.0,1764.0,1724.0,1684.0,1443.0
100,Kosovo,,,,,,,,,,,,,,,,,,,,,2731.0,2030.0,1486.0,1098.0,1093.0,2351.0,1531.0,1448.0,1325.0,932.0,871.0,1339.0,1554.0,1835.0,2022.0,2108.0,2213.0,2669.0,3233.0,3201.0,3298.0,3739.0,3644.0,3985.0,4183.0,3665.0
101,Kuwait,3829.0,4804.0,5131.0,5832.0,13158.0,11431.0,11762.0,11973.0,12426.0,18815.0,20725.0,17384.0,14210.0,13157.0,13090.0,12359.0,9820.0,11662.0,10331.0,11835.0,8972.0,5488.0,10407.0,13372.0,14693.0,16221.0,19227.0,17999.0,14690.0,16255.0,19548.0,17532.0,18674.0,22841.0,27436.0,35694.0,42502.0,45157.0,54479.0,36779.0,37724.0,47555.0,50897.0,48465.0,43339.0,29304.0
102,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,594.0,559.0,489.0,420.0,340.0,325.0,392.0,373.0,340.0,255.0,277.0,306.0,319.0,380.0,436.0,481.0,549.0,727.0,970.0,872.0,877.0,1116.0,1169.0,1277.0,1278.0,1106.0
103,Laos,43.0,46.0,48.0,54.0,59.0,68.0,72.0,74.0,80.0,83.0,98.0,122.0,135.0,143.0,155.0,163.0,170.0,167.0,164.0,190.0,204.0,235.0,252.0,277.0,313.0,352.0,363.0,331.0,239.0,266.0,312.0,311.0,320.0,361.0,420.0,473.0,569.0,709.0,874.0,908.0,1077.0,1266.0,1452.0,1635.0,1772.0,1850.0
104,Latvia,,,,,,,,,,,,,,,,,,,,,3632.0,3386.0,2285.0,2025.0,2117.0,2173.0,2428.0,2680.0,2972.0,3146.0,3347.0,3560.0,4121.0,5137.0,6369.0,7597.0,9753.0,14232.0,16600.0,12361.0,11368.0,13772.0,13783.0,15028.0,15744.0,13704.0
105,Lebanon,866.0,950.0,1154.0,1466.0,1843.0,1691.0,734.0,1371.0,1528.0,1766.0,2091.0,1990.0,1349.0,1419.0,991.0,850.0,1049.0,816.0,1303.0,1066.0,1091.0,1582.0,2032.0,2726.0,3148.0,3793.0,4439.0,5043.0,5430.0,5388.0,5155.0,5079.0,5312.0,5350.0,5473.0,5390.0,5435.0,6088.0,7112.0,8484.0,8858.0,8728.0,8956.0,8931.0,8676.0,8571.0
106,Lesotho,65.0,61.0,71.0,106.0,118.0,120.0,115.0,147.0,198.0,209.0,269.0,266.0,238.0,253.0,211.0,169.0,194.0,243.0,278.0,288.0,341.0,374.0,434.0,426.0,438.0,490.0,459.0,477.0,440.0,436.0,415.0,377.0,348.0,510.0,645.0,711.0,736.0,817.0,827.0,860.0,1088.0,1241.0,1159.0,1065.0,1034.0,941.0
107,Liberia,182.0,187.0,198.0,225.0,268.0,312.0,315.0,342.0,364.0,406.0,404.0,449.0,448.0,430.0,413.0,401.0,392.0,414.0,446.0,466.0,232.0,213.0,140.0,101.0,83.0,82.0,92.0,145.0,163.0,184.0,183.0,174.0,183.0,139.0,165.0,186.0,207.0,232.0,250.0,268.0,271.0,378.0,414.0,453.0,458.0,456.0
108,Libya,1882.0,2210.0,2534.0,3322.0,5577.0,5206.0,6489.0,7326.0,6955.0,9230.0,11966.0,10076.0,9520.0,8873.0,7790.0,7782.0,6139.0,5554.0,6104.0,6300.0,7068.0,7648.0,7929.0,7028.0,6430.0,5800.0,6294.0,6557.0,5801.0,6413.0,7208.0,6275.0,3971.0,4677.0,5838.0,7834.0,9324.0,10414.0,15569.0,11087.0,12918.0,6454.0,15247.0,12228.0,7684.0,5488.0
109,Liechtenstein,4734.0,5394.0,6301.0,8217.0,9430.0,11747.0,12725.0,13872.0,19555.0,22092.0,23094.0,21801.0,22001.0,21872.0,20792.0,21685.0,31638.0,42316.0,46207.0,44053.0,55252.0,56962.0,61773.0,62475.0,71682.0,88001.0,89306.0,80647.0,85624.0,90630.0,83385.0,82703.0,88364.0,100057.0,111647.0,117279.0,127180.0,145102.0,158939.0,139781.0,156533.0,175517.0,165693.0,172562.0,178723.0,169492.0
110,Lithuania,,,,,,,,,,,,,,,,,,,,,2774.0,2702.0,2181.0,1879.0,1742.0,1847.0,2328.0,2832.0,3171.0,3122.0,3310.0,3542.0,4159.0,5520.0,6707.0,7819.0,9139.0,12172.0,14875.0,11801.0,11890.0,14174.0,14210.0,15677.0,16657.0,14384.0
111,Luxembourg,4431.0,4582.0,5689.0,7738.0,9359.0,9108.0,9912.0,10898.0,13491.0,15699.0,17071.0,14302.0,13013.0,12785.0,12526.0,12879.0,18721.0,23149.0,25990.0,27435.0,34553.0,36964.0,40933.0,41431.0,45412.0,52745.0,52513.0,46894.0,47470.0,51478.0,49014.0,47824.0,52531.0,65290.0,76014.0,80762.0,90026.0,106004.0,113686.0,101527.0,104169.0,114574.0,105942.0,112949.0,117454.0,100161.0
112,Macau,664.0,786.0,962.0,1320.0,1533.0,1791.0,1799.0,2322.0,3054.0,3469.0,4095.0,4220.0,4333.0,4129.0,4556.0,4553.0,4907.0,6016.0,6755.0,7700.0,8954.0,10109.0,12915.0,14611.0,15993.0,17558.0,17577.0,17502.0,16099.0,15256.0,15560.0,15548.0,16486.0,18181.0,23084.0,25830.0,30829.0,37200.0,41235.0,41188.0,52604.0,67150.0,77145.0,90747.0,96075.0,78586.0
113,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875.0,1835.0,1981.0,2432.0,2788.0,3064.0,3351.0,4064.0,4822.0,4566.0,4561.0,5080.0,4710.0,5220.0,5474.0,4836.0
114,Madagascar,137.0,144.0,160.0,191.0,210.0,243.0,226.0,237.0,261.0,329.0,373.0,323.0,309.0,300.0,303.0,286.0,317.0,243.0,225.0,223.0,267.0,225.0,244.0,267.0,228.0,235.0,288.0,247.0,253.0,244.0,246.0,279.0,263.0,317.0,246.0,275.0,293.0,379.0,472.0,417.0,414.0,456.0,445.0,462.0,453.0,402.0
115,Malawi,104.0,127.0,142.0,133.0,160.0,173.0,184.0,214.0,244.0,254.0,300.0,292.0,270.0,274.0,259.0,233.0,231.0,226.0,237.0,271.0,278.0,315.0,281.0,308.0,182.0,208.0,236.0,243.0,245.0,237.0,226.0,217.0,238.0,213.0,225.0,231.0,245.0,264.0,308.0,429.0,465.0,483.0,364.0,326.0,357.0,373.0
116,Malaysia,354.0,380.0,440.0,653.0,790.0,758.0,877.0,1019.0,1240.0,1571.0,1770.0,1763.0,1843.0,2033.0,2214.0,1979.0,1710.0,1927.0,2050.0,2194.0,2417.0,2626.0,3080.0,3396.0,3686.0,4286.0,4743.0,4593.0,3228.0,3456.0,4005.0,3879.0,4133.0,4431.0,4925.0,5564.0,6195.0,7241.0,8487.0,7312.0,9069.0,10428.0,10835.0,10971.0,11306.0,9768.0
117,Maldives,363.0,393.0,443.0,526.0,644.0,391.0,346.0,314.0,356.0,547.0,583.0,596.0,731.0,735.0,817.0,869.0,936.0,900.0,1040.0,1133.0,1247.0,1377.0,1562.0,1723.0,1856.0,2211.0,2442.0,2699.0,2813.0,3012.0,3135.0,3084.0,3122.0,3537.0,4009.0,3672.0,4755.0,5534.0,6573.0,6578.0,6986.0,7234.0,7303.0,7961.0,8657.0,9446.0
118,Mali,59.0,69.0,77.0,88.0,81.0,118.0,138.0,157.0,179.0,222.0,254.0,230.0,198.0,170.0,164.0,176.0,253.0,294.0,300.0,296.0,352.0,336.0,373.0,361.0,260.0,329.0,329.0,310.0,327.0,320.0,267.0,305.0,332.0,389.0,436.0,485.0,518.0,592.0,686.0,693.0,704.0,830.0,772.0,798.0,842.0,744.0
119,Malta,852.0,899.0,1001.0,1170.0,1270.0,1596.0,1765.0,2077.0,2615.0,3269.0,4042.0,3978.0,3905.0,3645.0,3406.0,3417.0,4340.0,5243.0,5986.0,6220.0,7407.0,7921.0,8622.0,7659.0,8401.0,9929.0,10133.0,9969.0,10412.0,10642.0,10469.0,10445.0,11421.0,13785.0,15309.0,16100.0,16962.0,19675.0,22091.0,20826.0,21212.0,23080.0,22287.0,24440.0,25704.0,23281.0
120,Marshall Islands,416.0,432.0,451.0,500.0,626.0,658.0,690.0,742.0,789.0,876.0,881.0,981.0,1057.0,1207.0,1246.0,1155.0,1405.0,1508.0,1619.0,1604.0,1674.0,1717.0,1861.0,2005.0,2156.0,2378.0,2177.0,2056.0,2093.0,2073.0,2127.0,2208.0,2394.0,2440.0,2521.0,2647.0,2758.0,2878.0,2926.0,2908.0,3124.0,3290.0,3502.0,3603.0,3530.0,3453.0
121,Mauritania,282.0,294.0,333.0,368.0,486.0,571.0,619.0,619.0,592.0,717.0,975.0,915.0,806.0,796.0,673.0,614.0,702.0,775.0,793.0,788.0,802.0,836.0,824.0,684.0,704.0,720.0,707.0,667.0,565.0,535.0,477.0,463.0,459.0,525.0,616.0,693.0,938.0,1009.0,1181.0,1046.0,1208.0,1403.0,1385.0,1529.0,1434.0,1235.0
122,Mauritius,238.0,264.0,326.0,402.0,658.0,651.0,796.0,915.0,1110.0,1303.0,1201.0,1197.0,1118.0,1119.0,1058.0,1086.0,1465.0,1821.0,2044.0,2074.0,2481.0,2626.0,3018.0,3009.0,3240.0,3625.0,3920.0,3673.0,3622.0,3695.0,3935.0,3864.0,4028.0,4810.0,5411.0,5310.0,5483.0,6320.0,7788.0,7108.0,7787.0,8988.0,9096.0,9443.0,9943.0,9041.0
123,Mexico,850.0,908.0,1013.0,1201.0,1516.0,1799.0,1766.0,1585.0,1935.0,2473.0,3345.0,4194.0,2851.0,2391.0,2761.0,2841.0,1952.0,2073.0,2487.0,2968.0,3427.0,4020.0,4556.0,4954.0,5071.0,3384.0,3858.0,4571.0,4719.0,5300.0,6308.0,6662.0,6860.0,6674.0,7113.0,7880.0,8666.0,9220.0,9579.0,7648.0,8851.0,9715.0,9703.0,10173.0,10326.0,8981.0
124,Micronesia,343.0,372.0,427.0,593.0,782.0,775.0,771.0,759.0,834.0,906.0,933.0,1075.0,1088.0,1106.0,1079.0,1262.0,1353.0,1380.0,1492.0,1536.0,1639.0,1780.0,1865.0,1988.0,2015.0,2063.0,2019.0,1905.0,2029.0,2046.0,2171.0,2239.0,2257.0,2293.0,2257.0,2360.0,2403.0,2448.0,2522.0,2698.0,2867.0,3006.0,3154.0,3049.0,3057.0,3015.0
125,Moldova,,,,,,,,,,,,,,,,,,,,,911.0,775.0,562.0,570.0,403.0,407.0,392.0,450.0,399.0,277.0,307.0,354.0,398.0,475.0,624.0,719.0,822.0,1066.0,1473.0,1328.0,1423.0,1720.0,1788.0,1960.0,1960.0,1591.0
126,Monaco,12097.0,13393.0,16199.0,20710.0,22004.0,27399.0,27907.0,30408.0,37155.0,44508.0,50171.0,43362.0,40510.0,38140.0,35630.0,36723.0,50859.0,61356.0,66765.0,67024.0,82625.0,82117.0,89966.0,84180.0,87872.0,100012.0,99416.0,89175.0,91428.0,89995.0,81357.0,81460.0,87654.0,106942.0,121524.0,124319.0,133280.0,167440.0,181264.0,149993.0,145538.0,163509.0,153542.0,174636.0,187650.0,165871.0
127,Mongolia,156.0,166.0,174.0,194.0,215.0,243.0,259.0,288.0,323.0,356.0,402.0,464.0,521.0,558.0,597.0,634.0,688.0,710.0,752.0,794.0,787.0,726.0,665.0,654.0,679.0,730.0,691.0,613.0,560.0,519.0,550.0,608.0,663.0,749.0,925.0,1158.0,1547.0,1894.0,2479.0,1991.0,2650.0,3773.0,4377.0,4401.0,4202.0,3973.0
128,Montenegro,,,,,,,,,,,,,,,,,,,,,3491.0,2849.0,2400.0,1325.0,1364.0,1958.0,1410.0,1369.0,1394.0,1361.0,1611.0,1902.0,2100.0,2793.0,3392.0,3686.0,4395.0,5970.0,7341.0,6714.0,6655.0,7285.0,6552.0,7147.0,7337.0,6424.0
