,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
14,Bahrain,1980.0,2061.0,2507.0,3420.0,4455.0,4442.0,6005.0,7070.0,7569.0,8517.0,10459.0,11358.0,11575.0,11545.0,11753.0,10669.0,8629.0,8464.0,8970.0,9308.0,9899.0,10198.0,10392.0,11101.0,11673.0,12039.0,12174.0,12237.0,11322.0,11831.0,13591.0,12917.0,13226.0,14542.0,16275.0,18418.0,19669.0,21168.0,23043.0,19167.0,20386.0,22034.0,23058.0,24114.0,24515.0,22600.0
15,Bangladesh,95.0,84.0,92.0,99.0,116.0,119.0,130.0,133.0,166.0,186.0,206.0,203.0,180.0,179.0,204.0,206.0,212.0,234.0,246.0,261.0,265.0,277.0,277.0,279.0,291.0,320.0,329.0,333.0,338.0,348.0,346.0,340.0,346.0,373.0,397.0,403.0,483.0,545.0,618.0,681.0,755.0,805.0,830.0,977.0,1088.0,1208.0
16,Barbados,904.0,1011.0,1150.0,1394.0,1656.0,1935.0,2088.0,2362.0,2631.0,3175.0,4058.0,4451.0,4637.0,4910.0,5337.0,5569.0,6096.0,6690.0,7090.0,7813.0,7815.0,7725.0,7441.0,7821.0,8194.0,8585.0,9120.0,9604.0,10788.0,11264.0,11568.0,11514.0,11675.0,12028.0,12869.0,14223.0,15646.0,16462.0,16570.0,16523.0,15906.0,15534.0,15385.0,15473.0,15360.0,15429.0
17,Belarus,,,,,,,,,,,,,,,,,,,,,1845.0,1878.0,1737.0,1647.0,1489.0,1364.0,1432.0,1397.0,1514.0,1213.0,1047.0,1249.0,1485.0,1827.0,2387.0,3134.0,3853.0,4738.0,6377.0,5177.0,5818.0,6296.0,6703.0,7697.0,8011.0,5751.0
18,Belgium,2778.0,3093.0,3850.0,4931.0,5777.0,6759.0,7305.0,8492.0,10360.0,11881.0,12938.0,10672.0,9378.0,8873.0,8477.0,8766.0,12183.0,15146.0,16429.0,16589.0,20688.0,21140.0,23487.0,22386.0,24304.0,28496.0,27624.0,24977.0,25507.0,25416.0,23169.0,23066.0,24977.0,30595.0,35349.0,36676.0,38543.0,44073.0,48116.0,44638.0,44241.0,47887.0,44937.0,46632.0,47367.0,40278.0
19,Belize,206.0,256.0,327.0,523.0,686.0,784.0,609.0,772.0,870.0,999.0,1351.0,1307.0,1183.0,1213.0,1315.0,1269.0,1344.0,1586.0,1759.0,1979.0,2162.0,2264.0,2408.0,2684.0,2738.0,2834.0,3001.0,2953.0,2991.0,3064.0,3364.0,3419.0,3557.0,3680.0,3832.0,3933.0,4187.0,4325.0,4470.0,4259.0,4344.0,4517.0,4674.0,4719.0,4884.0,4906.0
20,Benin,111.0,115.0,138.0,166.0,174.0,207.0,215.0,229.0,271.0,321.0,399.0,367.0,348.0,293.0,273.0,263.0,327.0,371.0,373.0,336.0,398.0,390.0,425.0,414.0,281.0,392.0,413.0,385.0,405.0,399.0,370.0,374.0,412.0,509.0,571.0,587.0,609.0,686.0,795.0,768.0,733.0,799.0,808.0,883.0,903.0,779.0
21,Bermuda,5079.0,5692.0,6280.0,7116.0,8174.0,8942.0,9932.0,10701.0,11495.0,13275.0,15835.0,17204.0,19066.0,21094.0,22058.0,24239.0,26731.0,29060.0,30839.0,32481.0,33398.0,34483.0,34861.0,36918.0,38194.0,40782.0,43087.0,46362.0,49290.0,52141.0,54349.0,57221.0,60935.0,64532.0,68934.0,74753.0,82507.0,90881.0,95607.0,92354.0,91555.0,88401.0,88389.0,89843.0,90600.0,94400.0
22,Bhutan,212.0,220.0,224.0,243.0,276.0,249.0,244.0,261.0,243.0,263.0,312.0,341.0,350.0,384.0,368.0,367.0,421.0,490.0,512.0,480.0,511.0,436.0,444.0,426.0,508.0,568.0,597.0,684.0,675.0,733.0,778.0,820.0,897.0,1009.0,1108.0,1258.0,1346.0,1755.0,1811.0,1787.0,2201.0,2486.0,2452.0,2383.0,2561.0,2677.0
23,Bolivia,224.0,238.0,272.0,260.0,428.0,479.0,537.0,528.0,565.0,599.0,630.0,680.0,676.0,657.0,663.0,664.0,647.0,667.0,697.0,701.0,710.0,764.0,791.0,788.0,806.0,887.0,958.0,1007.0,1059.0,1013.0,1007.0,958.0,914.0,917.0,978.0,1046.0,1234.0,1390.0,1737.0,1777.0,1981.0,2378.0,2645.0,2948.0,3124.0,3077.0
